n	repo	path	sha	license	url
22	DickChesterwood/istio-fleetman	_course_files/arm64/1-Telemetry/1-istio-init.yaml	c380038bb0420db12a9c44c4695e21239c422427	NOASSERTION	https://github.com/DickChesterwood/istio-fleetman/blob/15bcd114165599c55afcfe7d0f0cd3515ec6f673/_course_files/arm64/1-Telemetry/1-istio-init.yaml
23	GoogleCloudPlatform/asm-user-auth	samples/rctoken-authz.yaml	5065e202767650a8c9234644adf5b94a67d23662	NOASSERTION	https://github.com/GoogleCloudPlatform/asm-user-auth/blob/66a857689466751f03f0cade6045bfff31eb196a/samples/rctoken-authz.yaml
24	maistra/istio	pkg/config/schema/metadata.yaml	0731ff6ac0452f23252ce1f1c9425bfa7e64ebd8	NOASSERTION	https://github.com/maistra/istio/blob/b657bcf2488b7c0bcf502782954419ebba04edf2/pkg/config/schema/metadata.yaml
25	erkules/k8sworkshop	Istio/requestauthentication.yaml	ed2ecc4cf89cb4d5ee2e54fb996dd4cbfeaf6818	NOASSERTION	https://github.com/erkules/k8sworkshop/blob/0852bdcf4a55aaddad53ce82dfb01053dee6215a/Istio/requestauthentication.yaml
26	MHRA/products	manifests/doc-index-updater/base/authentication.yaml	b6f0289d94366e4018092dc04c68f539e4fda9b7	NOASSERTION	https://github.com/MHRA/products/blob/5d493e01b1bdd617141529949f8dabed0184e15e/manifests/doc-index-updater/base/authentication.yaml
27	DickChesterwood/istio-fleetman	_course_files/arm64/4-Dark-Releases/1-istio-init.yaml	c380038bb0420db12a9c44c4695e21239c422427	NOASSERTION	https://github.com/DickChesterwood/istio-fleetman/blob/15bcd114165599c55afcfe7d0f0cd3515ec6f673/_course_files/arm64/4-Dark-Releases/1-istio-init.yaml
28	GerritCodeReview/gerrit-monitoring	charts/istio.yaml	5ab42f339e9e71aff4c562a4d9802e7f3a4b0d14	NOASSERTION	https://github.com/GerritCodeReview/gerrit-monitoring/blob/7f71bd51509dfabdb088f4a3332e5efd7f8c891e/charts/istio.yaml
29	arrikto/oidc-authservice	e2e/manifests/istio-1-6-0/base/dump.yaml	ac2ae0fb6a21e3e5c2e5a9bfa2d02c60693b8a6b	NOASSERTION	https://github.com/arrikto/oidc-authservice/blob/0c4ea9aa5e962c7f946c1acb65cfae3b0f604817/e2e/manifests/istio-1-6-0/base/dump.yaml
30	DickChesterwood/istio-fleetman	_course_files/arm64/5-Fault-Injection/1-istio-init.yaml	c380038bb0420db12a9c44c4695e21239c422427	NOASSERTION	https://github.com/DickChesterwood/istio-fleetman/blob/15bcd114165599c55afcfe7d0f0cd3515ec6f673/_course_files/arm64/5-Fault-Injection/1-istio-init.yaml
31	kalmhq/kalm	controller/resources/istio/crd-all.gen.yaml	9cf7d8f27917ebe9b7c0b2cb67d1e8032d2be1d5	NOASSERTION	https://github.com/kalmhq/kalm/blob/3479e59635ad728130d9991fb360f8bd02890ecb/controller/resources/istio/crd-all.gen.yaml
